,0
1544,1.25
1546,1.25
1547,1.0
1550,1.0
1551,1.75
1552,1.5
1555,1.25
1557,1.25
1559,1.25
1560,1.25
1561,1.5
1562,1.5
1563,1.5
1566,1.25
1568,1.25
1569,1.25
1570,1.25
1571,1.25
1574,1.0
1575,1.0
1576,1.75
1577,1.5
1580,1.5
1582,1.5
1583,1.25
1584,1.25
1585,1.25
1586,1.25
1587,1.25
1588,1.0
1590,1.25
1593,1.5
1594,1.5
1595,1.75
1597,1.25
1599,1.5
1600,1.25
1601,1.5
1602,1.5
1603,1.25
1604,1.0
1605,1.5
1606,1.5
1607,-277.0
1608,1.25
1610,1.25
1614,1.25
1615,1.0
1616,1.25
1619,1.25
1620,1.0
1622,1.25
1624,1.25
1625,1.5
1626,1.5
1627,1.25
1628,1.25
1629,1.5
1630,1.25
1633,1.25
1635,1.0
1636,1.25
1637,1.0
1638,1.0
1640,1.0
1641,1.0
1643,1.5
1644,1.5
1645,1.5
1646,1.75
1647,1.5
1648,1.5
1650,1.25
1651,1.0
1652,1.25
1654,1.0
1656,1.0
1658,1.25
1659,1.25
1660,-26.5
1661,1.0
1664,1.0
1665,1.25
1666,1.5
1667,1.5
1668,1.25
1669,1.5
1670,1.5
1671,1.25
1672,1.25
1674,1.25
1677,1.25
1678,1.25
1679,1.0
1680,1.25
1681,0.75
1682,1.25
1687,942.75
1690,1.5
1691,1.5
1692,1.5
1694,1.25
1695,1.25
1696,1.25
1698,1.25
1699,1.5
1700,1.25
1702,1.0
1703,1.25
1704,1.0
1705,1.0
1706,1.25
1707,1.5
1708,1.5
1709,1.25
1712,1.25
1713,1.5
1715,1.25
1717,1.0
1719,1.0
1721,1.5
1722,1.5
1723,1.75
1726,1.5
1727,1.5
1729,1.5
1730,1.5
1731,1.25
1732,1.5
1733,1.5
1735,1.25
1736,1.25
1737,1.0
1738,1.0
1739,1.0
1740,1.25
1741,1.0
1743,1.0
1744,1.0
1745,1.0
1749,1.25
1750,1.5
1751,1.5
1752,1.5
1753,1.25
1754,1.25
1755,1.25
1756,1.5
1757,1.25
1758,1.25
1759,1.25
1760,1.25
1762,1.25
1763,1.5
1764,1.0
1765,1.25
1766,1.25
1767,1.25
1768,1.0
1769,1.25
1770,1.5
1773,1.5
1775,1.5
1777,1.5
1780,1.0
1781,1.5
1782,1.0
1783,1.0
1784,1.0
1785,1.5
1786,1.25
1788,1.25
1789,1.5
1791,1.5
1792,1.25
1793,1.25
1794,1.25
1795,1.25
1796,1.5
1798,1.25
1799,1.25
1800,1.25
1802,1.0
1803,1.25
1805,1.0
1806,1.0
1807,1.0
1808,1.0
1810,1.0
1811,1.0
1812,1.0
1813,1.5
1814,1.75
1817,1.5
1820,1.5
1821,1.5
1822,1.25
1823,1.5
1824,1.25
1826,1.25
1830,1.0
1833,1.0
1834,1.0
1835,1.5
1837,1.25
1838,1.25
1839,1.25
1840,1.5
1841,1.25
1842,1.5
1844,1.0
1845,1.25
1846,1.25
1847,1.0
1849,1.25
1850,1.25
1851,1.0
1852,1.25
1853,1.0
1854,1.5
1855,1.5
1856,1.25
1857,1.25
1858,1.5
1859,1.5
1860,1.5
1862,1.5
1864,1.25
1867,1.0
